"period","item","value"
1959,"pasiva_kratkoroc_got.nov.optic",NA
1959,"pasiva_kratkoroc_depoz.novac",NA
1959,"pasiva_kratkoroc_ost.dep.po.vidj",NA
1959,"pasiva_kratkoroc_ogran.depoz",NA
1959,"pasiva_kratkoroc_sred.obrac.platn.prom",NA
1959,"pasiva_kratkoroc_ostale",NA
1959,"pasiva_kratkoroc_depoz.bnk.nbj_ziro.rac",NA
1959,"pasiva_kratkoroc_depoz.bnk.nbj_rezerv.fnd",NA
1959,"pasiva_kratkoroc_depoz.bnk.nbj_obavez.rez",NA
1959,"pasiva_kratkoroc_depoz.bnk.nbj_ostala",NA
1959,"pasiva_dugoroc_svega",NA
1959,"pasiva_dugoroc_deviz.obavez.inostr",NA
1959,"pasiva_dugoroc_deviz.obavez.domaci",NA
1959,"pasiva_dugoroc_oroc.dep.preko.1g",NA
1959,"pasiva_dugoroc_kred.dpz",NA
1959,"pasiva_dugoroc_sred.stamb.komun.izgr",NA
1959,"pasiva_dugoroc_fnd.osniv.bnk",NA
1959,"pasiva_rezerv.fond",NA
1959,"pasiva_izv.sred.bnk.kao.rad.org",NA
1960,"aktiva_ukupno",15284
1960,"aktiva_kratkoroc_svega",NA
1960,"aktiva_kratkoroc_zlato.deviz",NA
1960,"aktiva_kratkoroc_deviz.potraz.inostr",NA
1960,"aktiva_kratkoroc_deviz.potraz.domac",NA
1960,"aktiva_kratkoroc_deviz.potr.bnk.zemlji",NA
1960,"aktiva_kratkoroc_kred.komit",9221
1960,"aktiva_kratkoroc_kred.bnk_ukupno",NA
1960,"aktiva_kratkoroc_kred.bnk_reeskont",NA
1960,"aktiva_kratkoroc_kred.bnk_ostali",NA
1960,"aktiva_kratkoroc_ostala",NA
1960,"aktiva_dugoroc_svega",NA
1960,"aktiva_dugoroc_deviz.potraz.inostr",NA
1960,"aktiva_dugoroc_kred.komit",NA
1960,"aktiva_dugoroc_prim.sred.trajn.korisc_our",NA
1960,"aktiva_dugoroc_prim.sred.trajn.korisc_dpz",NA
1960,"aktiva_dugoroc_finans.udel.medjun.fin.org",NA
1960,"aktiva_dugoroc_kred.drustv.fond",NA
1960,"aktiva_dugoroc_plsm.stamb.kom.izgr",NA
1960,"aktiva_sred.bnk.kao.rad.org",NA
1960,"pasiva_ukupno",NA
1960,"pasiva_kratkoroc_svega",NA
1960,"pasiva_kratkoroc_deviz.obavez.inostr",NA
1960,"pasiva_kratkoroc_deviz.obavez.domac",NA
1960,"pasiva_kratkoroc_deviz.rac.bnk.zemlj",NA
1960,"pasiva_kratkoroc_got.nov.optic",NA
1960,"pasiva_kratkoroc_depoz.novac",NA
1960,"pasiva_kratkoroc_ost.dep.po.vidj",NA
1960,"pasiva_kratkoroc_ogran.depoz",NA
1960,"pasiva_kratkoroc_sred.obrac.platn.prom",NA
1960,"pasiva_kratkoroc_ostale",NA
1960,"pasiva_kratkoroc_depoz.bnk.nbj_ziro.rac",NA
1960,"pasiva_kratkoroc_depoz.bnk.nbj_rezerv.fnd",NA
1960,"pasiva_kratkoroc_depoz.bnk.nbj_obavez.rez",NA
1960,"pasiva_kratkoroc_depoz.bnk.nbj_ostala",NA
1960,"pasiva_dugoroc_svega",NA
1960,"pasiva_dugoroc_deviz.obavez.inostr",NA
1960,"pasiva_dugoroc_deviz.obavez.domaci",NA
1960,"pasiva_dugoroc_oroc.dep.preko.1g",NA
1960,"pasiva_dugoroc_kred.dpz",NA
1960,"pasiva_dugoroc_sred.stamb.komun.izgr",NA
1960,"pasiva_dugoroc_fnd.osniv.bnk",NA
1960,"pasiva_rezerv.fond",NA
